iter	Passed	Remaining
0	1	151
1	2	134
2	3	124
3	5	127
4	6	124
5	7	121
6	8	118
7	10	117
8	11	118
9	12	116
10	14	113
11	15	115
12	17	114
13	18	111
14	19	109
15	20	107
16	21	105
17	22	103
18	23	102
19	25	100
20	26	99
21	27	97
22	28	95
23	29	93
24	30	92
25	31	90
26	32	88
27	33	87
28	35	86
29	36	85
30	37	84
31	38	82
32	40	81
33	41	80
34	42	79
35	43	77
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	60	55
52	61	54
53	62	52
54	62	51
55	63	50
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	74	36
67	75	35
68	77	34
69	78	33
70	79	32
71	79	31
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	87	20
81	88	19
82	89	18
83	90	17
84	90	15
85	91	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	97	6
94	98	5
95	99	4
96	100	3
97	100	2
98	101	1
99	102	0
