iter	RMSE
0	14.64034453
1	14.35880452
2	13.97500786
3	13.64050982
4	13.28991333
5	12.97437228
6	12.67797201
7	12.37565403
8	12.07689634
9	11.80195802
10	11.52593823
11	11.2747437
12	11.04815552
13	10.8092411
14	10.58029371
15	10.35694274
16	10.16062943
17	9.947775525
18	9.750868575
19	9.548840058
20	9.386700253
21	9.223960461
22	9.066238008
23	8.899697687
24	8.771852036
25	8.614432662
26	8.47886285
27	8.352162801
28	8.230969059
29	8.109154912
30	7.993736347
31	7.88023202
32	7.786848984
33	7.679185991
34	7.585361318
35	7.48288818
36	7.384679527
37	7.296416733
38	7.206108189
39	7.128871856
40	7.057099214
41	6.980229602
42	6.907938398
43	6.851777169
44	6.794991379
45	6.722739196
46	6.665392407
47	6.610055229
48	6.554161199
49	6.49295376
50	6.445017677
51	6.390510627
52	6.344464183
53	6.294707507
54	6.255386095
55	6.216977814
56	6.173315883
57	6.134560041
58	6.101694958
59	6.063919837
60	6.024386589
61	5.992193542
62	5.96349463
63	5.929797352
64	5.9015091
65	5.876242337
66	5.847273197
67	5.82344925
68	5.790722734
69	5.759384491
70	5.731951252
71	5.710334527
72	5.691683668
73	5.673394059
74	5.648600258
75	5.630719322
76	5.615447993
77	5.593154516
78	5.572202524
79	5.556569747
80	5.538220375
81	5.523890041
82	5.508569673
83	5.495772815
84	5.479971976
85	5.469175663
86	5.457145815
87	5.448269239
88	5.438375545
89	5.428310455
90	5.417605039
91	5.405349591
92	5.39553126
93	5.384882789
94	5.376014766
95	5.366727701
96	5.354579223
97	5.346251605
98	5.337219002
99	5.32371113
100	5.316189888
101	5.304468842
102	5.291947199
103	5.284291062
104	5.27380899
105	5.262360363
106	5.251892749
107	5.242703151
108	5.233026607
109	5.223313151
110	5.218433977
111	5.215527709
112	5.208833278
113	5.196462427
114	5.185058199
115	5.17984519
116	5.170305402
117	5.159815815
118	5.152865604
119	5.146575013
120	5.141748584
121	5.135196041
122	5.130018248
123	5.122937391
124	5.11583053
125	5.105630235
126	5.097936737
127	5.090198416
128	5.083878424
129	5.074594626
130	5.069506839
131	5.065716146
132	5.062597673
133	5.058468236
134	5.055287093
135	5.051697312
136	5.046903826
137	5.042995317
138	5.036586933
139	5.032592382
140	5.026039437
141	5.021758743
142	5.014605373
143	5.011176287
144	5.004776363
145	5.001043466
146	4.994010208
147	4.988773478
148	4.986513176
149	4.98127435
150	4.976837765
151	4.973190463
152	4.966938581
153	4.964026509
154	4.957205523
155	4.9555695
156	4.951005464
157	4.945079663
158	4.94032872
159	4.934172841
160	4.930416414
161	4.924399025
162	4.919892726
163	4.917847924
164	4.913254653
165	4.910568487
166	4.906086621
167	4.903962103
168	4.898748582
169	4.894592433
170	4.890541878
171	4.887074339
172	4.883574351
173	4.87973502
174	4.87759403
175	4.871893095
176	4.867383844
177	4.864023935
178	4.861190937
179	4.855787122
180	4.851659263
181	4.846582061
182	4.842997447
183	4.841464507
184	4.837850983
185	4.833390747
186	4.830400505
187	4.828044375
188	4.82508272
189	4.822397213
190	4.817797176
191	4.809333323
192	4.802263946
193	4.799887269
194	4.794133009
195	4.789844406
196	4.787526433
197	4.782587428
198	4.777882044
199	4.772778561
200	4.772536763
201	4.767438819
202	4.762275133
203	4.756750875
204	4.752591013
205	4.746597656
206	4.741755782
207	4.738021578
208	4.735886958
209	4.728228389
210	4.723876969
211	4.721143638
212	4.716443683
213	4.712803225
214	4.708900531
215	4.706238496
216	4.704691486
217	4.702391382
218	4.698762358
219	4.693932553
220	4.692586369
221	4.690841194
222	4.68727548
223	4.684851033
224	4.683856156
225	4.680439365
226	4.679183327
227	4.674865394
228	4.670959715
229	4.668236552
230	4.665765538
231	4.664015418
232	4.658268531
233	4.656483136
234	4.653344556
235	4.648956195
236	4.642542638
237	4.639139267
238	4.632031293
239	4.626524598
240	4.624397532
241	4.62150195
242	4.618953274
243	4.617210761
244	4.616014433
245	4.614816963
246	4.611558832
247	4.610198052
248	4.607577543
249	4.601596643
250	4.599358343
251	4.594647193
252	4.587541867
253	4.58684482
254	4.582609881
255	4.579891357
256	4.576816411
257	4.574714767
258	4.572087017
259	4.569375125
260	4.564309473
261	4.557784447
262	4.555397532
263	4.546567649
264	4.545331976
265	4.544993366
266	4.543220906
267	4.539156748
268	4.536522994
269	4.535685583
270	4.533469165
271	4.53226619
272	4.525118235
273	4.521312567
274	4.519188251
275	4.516386101
276	4.513415859
277	4.508003517
278	4.50177579
279	4.496510075
280	4.495288227
281	4.491335219
282	4.485944698
283	4.481449774
284	4.48033316
285	4.479142356
286	4.474625246
287	4.46920591
288	4.463336174
289	4.459700474
290	4.457487282
291	4.455225387
292	4.450711666
293	4.448788545
294	4.446348412
295	4.44300137
296	4.442222682
297	4.437664897
298	4.434254296
299	4.432897092
300	4.428219675
301	4.425531393
302	4.420337065
303	4.417591397
304	4.416664272
305	4.41480865
306	4.412811434
307	4.409849136
308	4.408075441
309	4.405925953
310	4.404860636
311	4.398962464
312	4.395363224
313	4.393792475
314	4.38848026
315	4.388205251
316	4.385386321
317	4.383084862
318	4.380705484
319	4.374677791
320	4.371357718
321	4.36728629
322	4.363234188
323	4.361066689
324	4.356842706
325	4.356562151
326	4.35420249
327	4.350943785
328	4.344938413
329	4.34207319
330	4.338826135
331	4.335486362
332	4.329381149
333	4.324537521
334	4.321927355
335	4.316830016
336	4.31351275
337	4.312175987
338	4.30901441
339	4.305286311
340	4.304393542
341	4.301533909
342	4.297202261
343	4.292513605
344	4.29073258
345	4.285506477
346	4.283708329
347	4.282858098
348	4.279513892
349	4.274184806
350	4.270386146
351	4.269377311
352	4.263643306
353	4.261701117
354	4.258289147
355	4.256084363
356	4.252563458
357	4.249201316
358	4.246609505
359	4.24369283
360	4.238605618
361	4.236038624
362	4.232712964
363	4.228272399
364	4.226436451
365	4.223249124
366	4.218682473
367	4.216339962
368	4.210381355
369	4.207246082
370	4.204847395
371	4.2019402
372	4.196169291
373	4.193463272
374	4.187713049
375	4.185312847
376	4.182908087
377	4.180590474
378	4.178203074
379	4.174621539
380	4.173668085
381	4.17250549
382	4.167810204
383	4.167648524
384	4.165322722
385	4.164476916
386	4.16389056
387	4.16069245
388	4.159865372
389	4.158193616
390	4.155893053
391	4.153436657
392	4.152555785
393	4.149534763
394	4.147655782
395	4.144720036
396	4.140386108
397	4.138961042
398	4.133904183
399	4.128212957
400	4.127683686
401	4.124738252
402	4.119862611
403	4.115552888
404	4.113216379
405	4.11306401
406	4.111042282
407	4.109088653
408	4.108786231
409	4.106075001
410	4.103665153
411	4.099541907
412	4.098314708
413	4.09825948
414	4.095610989
415	4.094924169
416	4.092432037
417	4.089383063
418	4.088240153
419	4.085750363
420	4.084832765
421	4.082661588
422	4.080344458
423	4.075907135
424	4.074604002
425	4.073777992
426	4.068860771
427	4.066796099
428	4.065453941
429	4.064058032
430	4.062476299
431	4.058898508
432	4.057687538
433	4.056238751
434	4.052355332
435	4.051242334
436	4.047676016
437	4.04610755
438	4.044962701
439	4.044004988
440	4.039366385
441	4.03924541
442	4.036885231
443	4.036811926
444	4.03431784
445	4.030936381
446	4.025790581
447	4.025028771
448	4.023917113
449	4.023230254
450	4.020761825
451	4.019289978
452	4.018020984
